 ;DoubleA;phase;mass;phase
100%U;400;174;0;0
100%n;249;190;0;0
100%U;310;189;0;0
40MW;312;189;0;0
100%n;240;188;4,8;-135
100%U;288;190;4,8;-135
40MW;278;192;4,8;-135
100%n;209;192;15,4;-135
100%U;248;192;15,4;-135
40MW;244;194;15,4;-135
100%n;120;191;36,4;-135
100%U;156;184;36,4;-135
40MW;147;193;36,4;-135
100%n;199;166;36,5;-135
100%U;260;162;36,5;-135
40MW;196;177;36,5;-135
100%n;228;208;37;180
100%U;273;204;37;180
40MW;259;207;37;180
